"","playernames","teams","points","attemps","success","total"
"1","Abdel-Aziz Nimir","NED","207","60","50.49","410"
"2","Esmaeilnezhad Amin","IRI","190","56","54.13","351"
"3","Russell Aaron","USA","162","46","50.00","324"
"4","Nishida Yuji","JPN","162","52","54.92","295"
"5","Defalco Torey","USA","157","40","55.09","285"
"6","Nikolov Aleksandar","BUL","150","43","51.72","290"
"7","Ensing Kyle","USA","143","37","53.16","269"
"8","Zhang Jingyin","CHN","140","49","53.44","262"
"9","Maar Stephen Timothy","CAN","139","48","43.99","316"
"10","Lima Bruno","ARG","136","44","50.56","269"
"11","Pope Lorenzo","AUS","134","38","55.37","242"
"12","Palacios Ezequiel","ARG","130","27","49.06","265"
"13","Lavia Daniele","ITA","125","25","49.41","253"
"14","Možič Rok","SLO","123","37","48.62","253"
"15","Ishikawa Yuki","JPN","122","34","49.19","248"
"16","Romanò Yuri","ITA","120","40","46.51","258"
"17","Atanasov Martin","BUL","117","40","45.88","255"
"18","Ngapeth Earvin","FRA","116","28","53.21","218"
"19","Patry Jean","FRA","115","26","48.12","239"
"20","Ebadipour Ghara H. Milad","IRI","114","36","48.10","237"
"21","Kurek Bartosz","POL","111","30","51.87","214"
"22","Peric Pavle","SRB","109","39","45.99","237"
"23","Fromm Christian","GER","107","35","42.29","253"
"24","Weber Linus","GER","106","48","45.49","233"
"25","Esfandiar Amirhossein","IRI","101","31","49.27","205"
"26","Michieletto Alessandro","ITA","100","31","48.54","206"
"27","Leal Hidalgo Yoandy","BRA","100","24","52.63","190"
"28","Tuinstra Bennie Junior","NED","99","32","44.00","225"
"29","Kujundžić Miran","SRB","98","39","50.26","195"
"30","Souza Alan","BRA","98","22","54.75","179"
"31","Loser Agustin","ARG","95","17","58.28","163"
"32","Boyer Stephen","FRA","89","22","51.15","174"
"33","Atanasijevic Aleksandar","SRB","89","33","52.66","169"
"34","Semeniuk Kamil","POL","86","18","48.31","178"
"35","Sclater Ryan Joseph","CAN","83","23","49.70","167"
"36","Zhang Guanhua","CHN","79","28","46.20","171"
"37","Jendryk II Jeffrey","USA","79","7","65.83","120"
"38","Štern Tonček","SLO","78","44","46.99","166"
"39","Resende Gualberto Flavio","BRA","78","11","61.90","126"
"40","Reichert Moritz","GER","77","18","49.36","156"
"41","Fornal Tomasz","POL","77","16","53.10","145"
"42","Palonsky Luciano","ARG","76","19","49.67","153"
"43","Chinenyeze Barthélémy","FRA","75","7","66.96","112"
"44","Souza Ricardo Lucarelli","BRA","75","23","51.37","146"
"45","Ferreira Souza Darlan","BRA","75","24","53.19","141"
"46","Parapunov Radoslav","BUL","72","44","40.22","179"
"47","Clevenot Trevor","FRA","72","12","51.06","141"
"48","Maase Lukas","GER","70","16","44.87","156"
"49","Takahashi Ran","JPN","69","23","46.00","150"
"50","Louati Yacine","FRA","69","27","44.81","154"
"51","Smith David","USA","67","11","63.21","106"
"52","Ter Horst Thijs","NED","66","22","51.16","129"
"53","Otsuka Tatsunori","JPN","65","19","45.14","144"
"54","Vicentin Luciano","ARG","63","34","41.45","152"
"55","Yamauchi Akihiro","JPN","62","11","56.36","110"
"56","Galassi Gianluca","ITA","60","10","57.69","104"
"57","Loeppky Eric","CAN","60","27","42.55","141"
"58","Sliwka Aleksander","POL","59","9","50.86","116"
"59","Kolev Nikolay","BUL","58","11","65.91","88"
"60","Heptinstall Thomas","AUS","58","33","39.46","147"
"61","Yu Yuantai","CHN","57","21","44.88","127"
"62","Plak Fabian","NED","57","6","64.77","88"
"63","Graham Beau","AUS","56","10","56.00","100"
"64","Krick Tobias","GER","55","13","55.00","100"
"65","Pajenk Alen","SLO","54","9","60.67","89"
"66","Brand Tobias","GER","54","14","39.42","137"
